pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
2,,,,,1000690002,,1000690001,,,,,0,0,1,0,,,,,1,,,,,,10,,,10006900,,,0,0,0,,0,0,,,,,,12,,,0,,0,0,,1,0,1,0,22673.31,1,0,1,0,663.33,37476.53,2,2,200.29919,0,0,,,,0,,0,0,0,0,0,60,31,0
,,,0,,1000690003,,,,,,,,,1,,,,0,,,1000690002,,,,,10,,1000690001,10006900,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,200.29919,,,,,,,,,,,,,61,6,
,,,0,,1000690004,,,,,,,,,1,,,,0,,,1000690002,,,,,10,,1000690001,10006900,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,1,200.29919,,,,,,,,,,,,,62,4,
3,,,,,1000700001,,,,3,,3,0,0,1,0,1,2,,,1,1000700002,1,,21,3,10,40,,10007000,,43,0,0,0,700,1019.12,0,1,,,,85,12,2,0,0,1,0,0,3,1,0,2,0,20552.26,3,0,1,0,601.28,33970.7,2,2,78.18504,0,0,29,,1,0,2,0,0,0,0,0,63,55,0
4,,,,,1000700002,,,,,,,0,0,1,0,,,,,,,,,,,10,,,10007000,,,0,516.36,0,700,0,12107.55,,,,,,0,,,0,,0,0,,3,0,2,0,0,3,0,1,0,0,0,2,2,78.18504,0,0,,,,12,,0,0,0,0,0,64,83,0
1,,,,,1000700003,,,,,,,0,0,1,0,,,,,1,1000700001,,,,,10,,,10007000,,,0,0,0,344,0,0,,,,,,12,,,0,,0,0,,1,0,2,0,6450.09,3,0,1,0,161.03,8636.51,,2,78.18504,0,0,,,,0,,0,0,0,209.54,0,65,20,239.98
5,,,,,1000730001,,,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,10,40,,10007300,,26,0,0,0,700,0,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,2,0,38347.37,3,0,1,0,919.07,63384.04,2,1,200.47333,0,0,,,1,0,2,0,0,0,0,0,66,63,0
3,,3,,,1000740001,,,4,2,3,,0,0,1,0,2,,,,,,1,,,2,10,,,10007400,93,,0,0,0,450,0,4191.9,1,,,,,0,,,0,2,0,0,2,3,0,2,967.55,7598.49,3,0,1,1138.3,178.41,10080,2,2,45.36984,0,0,25,,2,12,2,0,0,0,0,0,67,80,0
1,,,,,1000780001,,,3,3,,3,0,0,1,0,1,,,,1,1000780002,2,,21,1,10,40,1000780003,10007800,,43,0,0,0,350,715.06,0,1,,,,70,12,1,0,0,1,0,0,3,1,0,2,0,14420.26,3,0,1,0,421.88,23835.15,2,1,205.28981,0,0,15,,1,0,2,0,0,0,0,0,68,35,0
2,,,,,1000780002,,1000780003,3,3,,3,0,0,1,0,1,,,,1,,2,,21,3,10,40,,10007800,,91,0,0,0,450,0,0,1,,,,73,12,1,0,0,3,0,0,3,1,0,1,0,11815.57,1,0,1,0,322.34,18211.07,2,2,205.28981,0,0,21,,1,0,2,0,0,0,126.9,0,69,56,143.03
